img_emoji;word_count;count_emoji;emotion;tonality;class;clean_text
😁;10;1;smile;positive/negative;0;никто тебе так не будет рад, как голодная девушка 😁
😆;8;1;smile;positive/negative;0;а по моему она просто не поняла 😆
😆;5;1;smile;positive/negative;0;пора возвращаться в реальность 😆
😆;6;1;smile;positive/negative;0;и главное какой уверенный взгляд 😆
😁;5;1;smile;positive/negative;0;и так каждый месяц 😁
🤗;5;1;joy;positive;2;поделился уютными семейными фотками 🤗
😊;4;1;smile;positive/negative;0;улыбчивый   в голливуде 😊
💛;8;1;no_emotion;positive/negative;3;две ferrero rocher, которые захватили наши ленты 💛
🥰;9;1;joy;positive;2;показал красоту — так выглядел концерт в туркменистане 🥰
💕;5;1;joy;positive;2;женится! поздравляем пару 💕
🥰;4;1;joy;positive;2;уют дома у   🥰
💙;5;1;no_emotion;positive/negative;3;празднует рождество с семьёй 💙
🥳;10;1;joy;positive;2;томa бангальтер из daft punk сегодня отмечает день рождения 🥳
🥰;5;1;joy;positive;2;шлёт сердечки и поцелуйчики 🥰
❤;7;1;joy;positive;2;тоже поздравляет вас с новым годом ❤
🥰;6;1;joy;positive;2;эти ребята не перестают радовать 🥰
😅;10;1;smile;positive/negative;0;не зря ходят поговорки, что объятия любимого человека лечат 😅
😅;3;1;smile;positive/negative;0;поиски затянулись 😅
😅;8;1;smile;positive/negative;0;..а в душе очень хотелось пацана😅
😏;10;1;no_emotion;neutral/skeptical;1;когда твоя семья ну просто идеальный пример для подражания 😏
😅;4;1;smile;positive/negative;0;неужели такие существуют 😅
😅;9;1;smile;positive/negative;0;в этот раз я обязательно ее дождусь!😅
😂;8;1;smile;positive/negative;0;"болезнь ""я сама"" кажется неизлечимой 😂"
😅;6;1;smile;positive/negative;0;хочешь узнать свое будущее? 😅
😕;8;1;sadness;negative;4;какие-то нездоровые отношения у брата с сестрой😕
😅;7;1;smile;positive/negative;0;когда ну все просто против тебя😅
😅;10;1;smile;positive/negative;0;переживаю за её личную жизнь больше, чем за свою😅
😏;8;1;no_emotion;neutral/skeptical;1;"будет ""4 сыночка и лапочка-дочка""😏"
😅;8;1;smile;positive/negative;0;и пусть у каждого такой человек будет😅
😅;8;1;smile;positive/negative;0;как говорится, ваши ожидания - ваши проблемы😅
😅;11;1;smile;positive/negative;0;хорошо бы такие сюрпризы получать не только на 8 марта 😅
😅;7;1;smile;positive/negative;0;на эту пару хочется смотреть вечно 😅
😅;11;1;smile;positive/negative;0;"в фотографиях ""спустя годы"" своя, особая, атмосфера.. 😅"
😅;4;1;smile;positive/negative;0;не зря ждала 😅
😅;6;1;smile;positive/negative;0;одиночество вообще женщинам к лицу 😅
😅;5;1;smile;positive/negative;0;мужчина выглядит очень озадаченным 😅
😅;3;1;smile;positive/negative;0;зато честно 😅
😏;5;1;no_emotion;neutral/skeptical;1;такая красивая девочка растет 😏
😅;5;1;smile;positive/negative;0;присмотритесь и все поймете😅
😂;5;1;smile;positive/negative;0;разнообразие куда лучше обыденности 😂
😅;4;1;smile;positive/negative;0;сколько насчитали? 😅
😅;6;1;smile;positive/negative;0;так вот какая настоящая дружба 😅
😅;6;1;smile;positive/negative;0;в следующий раз будет внимательнее 😅
😏;9;1;no_emotion;neutral/skeptical;1;"вот, что означает ""возраст к лицу"" 😏"
😂;5;1;smile;positive/negative;0;все такие счастливые! 😂
😂;2;1;smile;positive/negative;0;опоздал 😂
😅;7;1;smile;positive/negative;0;теперь, наконец-то, она будет счастлива! 😅
😅;9;1;smile;positive/negative;0;важнее дня в жизни девушки и не назовешь 😅
😅;7;1;smile;positive/negative;0;чтобы найти, нужно очень долго всматриваться😅
😂;10;1;smile;positive/negative;0;часто слышу такие истории😂 это же так мило!
😅;9;1;smile;positive/negative;0;пара, благодаря которой еще можно верить в любовь 😅
😅;5;1;smile;positive/negative;0;все детки красивые по-своему 😅
😅;8;1;smile;positive/negative;0;у каждого должна быть своя тайная комната 😅
😅;9;1;smile;positive/negative;0;с каким же количеством хейта столкнулась эта пара 😅
